y,theoretical,y,Std 2nd,Std 6th,Imp 3rd,Imp 6th
-49.5,0,-49.5,4.69E-09,4.69E-09,4.12E-06,4.12E-06
-48.5,1.31E-05,-48.51,1.96E-08,1.96E-08,1.62E-05,1.62E-05
-47.5,2.60E-05,-47.52,3.42E-08,3.42E-08,0.000028021,0.000028021
-46.5,3.85714E-05,-46.53,4.85E-08,4.85E-08,0.000039587,0.000039587
-45.5,5.09E-05,-45.54,6.26E-08,6.26E-08,0.000050901,0.000050901
-44.5,6.29E-05,-44.55,7.63E-08,7.63E-08,0.00006197,0.00006197
-43.5,7.47E-05,-43.56,8.97E-08,8.97E-08,0.000072795,0.000072795
-42.5,8.63E-05,-42.57,1.03E-07,1.03E-07,0.000083382,0.000083382
-41.5,0.0000975,-41.58,1.16E-07,1.16E-07,0.000093734,0.000093734
-40.5,1.08E-04,-40.59,1.28E-07,1.28E-07,0.00010385,0.00010385
-39.5,1.19E-04,-39.6,1.40E-07,1.40E-07,0.00011375,0.00011375
-38.5,0.000129643,-38.61,1.52E-07,1.52E-07,0.00012341,0.00012341
-37.5,0.000139821,-37.62,1.64E-07,1.64E-07,0.00013286,0.00013286
-36.5,1.50E-04,-36.63,1.75E-07,1.75E-07,0.00014209,0.00014209
-35.5,1.59E-04,-35.64,1.86E-07,1.86E-07,0.0001511,0.0001511
-34.5,0.00016875,-34.65,1.97E-07,1.97E-07,0.0001599,0.0001599
-33.5,0.000177857,-33.66,2.08E-07,2.08E-07,0.00016848,0.00016848
-32.5,1.87E-04,-32.67,2.18E-07,2.18E-07,0.00017686,0.00017686
-31.5,1.95E-04,-31.68,2.28E-07,2.28E-07,0.00018504,0.00018504
-30.5,0.000203571,-30.69,2.37E-07,2.37E-07,0.00019301,0.00019301
-29.5,0.000211607,-29.7,2.46E-07,2.46E-07,0.00020079,0.00020079
-28.5,2.19E-04,-28.71,2.56E-07,2.56E-07,0.00020842,0.00020842
-27.5,2.27E-04,-27.72,2.66E-07,2.66E-07,0.00021617,0.00021617
-26.5,0.000234107,-26.73,2.82E-07,2.82E-07,0.00022537,0.00022537
-25.5,0.000241071,-25.74,3.38E-07,0.000000338,0.00024282,0.00024282
-24.5,0.000247768,-24.75,6.46E-07,6.46E-07,0.00029336,0.00029336
-23.5,0.000504911,-23.76,2.80E-06,2.80E-06,0.00041369,0.00041369
-22.5,0.000751339,-22.77,0.000018272,0.000018277,0.00060466,0.00060466
-21.5,0.000987054,-21.78,0.0001029,0.00010293,0.00082853,0.00082853
-20.5,0.001212054,-20.79,0.00037912,0.00037919,0.0010554,0.0010554
-19.5,0.001426339,-19.8,0.00088321,0.0008833,0.0012749,0.0012749
-18.5,0.001629911,-18.81,0.001432,0.0014321,0.0014845,0.0014845
-17.5,0.001822768,-17.82,0.0018457,0.0018458,0.0016837,0.0016837
-16.5,0.002004911,-16.83,0.0021273,0.0021274,0.0018725,0.0018725
-15.5,0.002176339,-15.84,0.0023465,0.0023466,0.0020509,0.0020509
-14.5,0.002337054,-14.85,0.0025408,0.0025408,0.0022187,0.0022187
-13.5,0.002487054,-13.86,0.0027202,0.0027203,0.002376,0.002376
-12.5,0.002626339,-12.87,0.0028873,0.0028873,0.0025229,0.0025229
-11.5,0.002754911,-11.88,0.0030422,0.0030423,0.0026592,0.0026592
-10.5,0.002872768,-10.89,0.0031852,0.0031853,0.002785,0.002785
-9.5,0.002979911,-9.9,0.0033163,0.0033164,0.0029004,0.0029004
-8.5,0.003076339,-8.91,0.0034354,0.0034355,0.0030052,0.0030052
-7.5,0.003162054,-7.92,0.0035426,0.0035427,0.0030996,0.0030996
-6.5,0.003237054,-6.93,0.0036379,0.003638,0.0031834,0.0031834
-5.5,0.003301339,-5.94,0.0037212,0.0037213,0.0032568,0.0032568
-4.5,0.003354911,-4.95,0.0037926,0.0037927,0.0033196,0.0033196
-3.5,0.003397768,-3.96,0.0038521,0.0038521,0.003372,0.003372
-2.5,0.003429911,-2.97,0.0038996,0.0038996,0.0034139,0.0034139
-1.5,0.003451339,-1.98,0.0039351,0.0039352,0.0034452,0.0034452
-0.5,0.003462054,-0.99,0.0039588,0.0039588,0.0034661,0.0034661
0.5,0.003462054,0,0.0039705,0.0039705,0.0034765,0.0034765
1.5,0.003451339,0.99,0.0039588,0.0039588,0.0034661,0.0034661
2.5,0.003429911,1.98,0.0039351,0.0039352,0.0034452,0.0034452
3.5,0.003397768,2.97,0.0038996,0.0038996,0.0034139,0.0034139
4.5,0.003354911,3.96,0.0038521,0.0038521,0.003372,0.003372
5.5,0.003301339,4.95,0.0037926,0.0037927,0.0033196,0.0033196
6.5,0.003237054,5.94,0.0037212,0.0037213,0.0032568,0.0032568
7.5,0.003162054,6.93,0.0036379,0.003638,0.0031834,0.0031834
8.5,0.003076339,7.92,0.0035426,0.0035427,0.0030996,0.0030996
9.5,0.002979911,8.91,0.0034354,0.0034355,0.0030052,0.0030052
10.5,0.002872768,9.9,0.0033163,0.0033164,0.0029004,0.0029004
11.5,0.002754911,10.89,0.0031852,0.0031853,0.002785,0.002785
12.5,0.002626339,11.88,0.0030422,0.0030423,0.0026592,0.0026592
13.5,0.002487054,12.87,0.0028873,0.0028873,0.0025229,0.0025229
14.5,0.002337054,13.86,0.0027202,0.0027203,0.002376,0.002376
15.5,0.002176339,14.85,0.0025408,0.0025408,0.0022187,0.0022187
16.5,0.002004911,15.84,0.0023465,0.0023466,0.0020509,0.0020509
17.5,0.001822768,16.83,0.0021273,0.0021274,0.0018725,0.0018725
18.5,0.001629911,17.82,0.0018457,0.0018458,0.0016837,0.0016837
19.5,0.001426339,18.81,0.001432,0.0014321,0.0014845,0.0014845
20.5,0.001212054,19.8,0.00088321,0.0008833,0.0012749,0.0012749
21.5,0.000987054,20.79,0.00037912,0.00037919,0.0010554,0.0010554
22.5,0.000751339,21.78,0.0001029,0.00010293,0.00082853,0.00082853
23.5,0.000504911,22.77,0.000018272,0.000018277,0.00060466,0.00060466
24.5,0.000247768,23.76,2.80E-06,2.80E-06,0.00041369,0.00041369
25.5,0.000241071,24.75,6.46E-07,6.46E-07,0.00029336,0.00029336
26.5,0.000234107,25.74,3.38E-07,3.38E-07,0.00024282,0.00024282
27.5,2.27E-04,26.73,2.82E-07,2.82E-07,0.00022537,0.00022537
28.5,2.19E-04,27.72,2.66E-07,2.66E-07,0.00021617,0.00021617
29.5,0.000211607,28.71,2.56E-07,2.56E-07,0.00020842,0.00020842
